rownum,site,day,month,year,time,latitude,longitude,CHPU_index,MOCO_index,building_type,roof_design,occ_bin
1,MAKT_06,7,2,2022,17:00:00,-3.4095164,38.1332393,4,0,modern,triangle,1
3,MAKT_06,1,3,2022,10:03:48,-3.4133254,38.1364995,NA,NA,modern,triangle,1
4,MAKT_06,1,3,2022,10:10:47,-3.4126286,38.1358373,NA,NA,mud,triangle,1
6,MAKT_06,1,3,2022,10:47:51,-3.4113892,38.1363739,NA,NA,modern,triangle,1
7,MAKT_06,1,3,2022,10:52:37,-3.4113208,38.1359664,2,0,mud,flat,1
8,MAKT_06,1,3,2022,11:01:07,-3.4108023,38.1353797,NA,NA,mud,flat,0
9,MAKT_06,1,3,2022,11:44:31,-3.4118288,38.1297595,NA,NA,modern_mud,triangle,1
10,MAKT_06,1,3,2022,12:11:16,-3.4091626,38.1292788,NA,NA,modern,triangle,0
11,MAKT_06,1,3,2022,12:35:53,-3.4093126,38.1318487,NA,NA,modern,triangle,1
12,MAKT_06,1,3,2022,14:01:42,-3.4057859,38.1321487,2,0,modern,triangle,1
13,MAKT_06,1,3,2022,14:28:00,-3.407354,38.1348686,5,5,modern,triangle,1
14,MAKT_06,1,3,2022,15:07:13,-3.4070399,38.1353239,NA,NA,modern,triangle,1
15,MAKT_06,1,3,2022,15:10:45,-3.4073321,38.1358451,NA,NA,modern,triangle,1
16,MAKT_06,1,3,2022,15:15:32,-3.4067015,38.1359791,NA,NA,modern,triangle,1
17,MAKT_06,1,3,2022,16:17:34,-3.4070696,38.1374747,NA,NA,modern,triangle,1
18,MAKT_06,1,3,2022,16:22:26,-3.406621,38.1370001,NA,NA,modern,triangle,0
19,MAKT_06,1,3,2022,16:37:50,-3.4057264,38.1377489,1,0,modern,triangle,1
20,MAKT_06,1,3,2022,16:43:35,-3.4059514,38.1376648,1,0,modern,triangle,1
21,MAKT_06,1,3,2022,17:06:23,-3.4090398,38.1377243,3,0,modern,triangle,1
22,MAKT_06,2,3,2022,9:32:32,-3.4057122,38.133142,NA,NA,modern,triangle,1
23,MAKT_06,2,3,2022,10:12:13,-3.4060949,38.1361684,NA,NA,modern,flat,1
24,MAKT_06,2,3,2022,10:28:14,-3.4051046,38.1385378,1,0,modern,triangle,1
25,MAKT_06,1,3,2022,10:59:49,-3.4102292,38.1356253,NA,NA,modern,triangle,1
26,MAKT_06,1,3,2022,11:13:59,-3.4111387,38.1338762,NA,NA,modern,triangle,0
27,MAKT_06,1,3,2022,14:29:25,-3.4068938,38.1341793,NA,NA,modern,triangle,1
28,MAKT_06,1,3,2022,16:06:00,-3.40747,38.13762,NA,NA,modern,triangle,1
29,MAKT_06,1,3,2022,16:52:47,-3.408056,38.1373932,NA,NA,modern,triangle,1
30,MAKT_06,1,3,2022,17:15:25,-3.4090937,38.1373547,NA,NA,modern,triangle,0
31,MAKT_06,2,3,2022,9:34:42,-3.4055403,38.1332429,NA,NA,modern,triangle,NA
32,MAKT_06,2,3,2022,9:45:19,-3.4054782,38.1334834,NA,NA,modern,triangle,NA
33,MAKT_06,2,3,2022,9:54:46,-3.4058043,38.1347477,NA,NA,modern,triangle,0
34,MAKT_06,2,3,2022,10:40:16,-3.4054705,38.1362848,NA,NA,modern,flat,NA
41,MAKT_06,7,2,2022,17:00:00,-3.4095306,38.1331444,0,0,modern,triangle,0
42,MAKT_06,7,2,2022,17:00:00,-3.407472,38.1313125,0,0,modern,triangle,0
43,MAKT_06,7,2,2022,17:00:00,-3.4072045,38.1316388,0,0,modern,triangle,0
44,MAKT_06,7,2,2022,17:00:00,-3.4071016,38.1316562,0,0,modern,flat,0
45,MAKT_06,7,2,2022,17:00:00,-3.4071396,38.1319175,0,0,modern,flat,0
46,MAKT_06,7,2,2022,17:00:00,-3.4072077,38.1319112,0,0,modern,flat,0
47,MAKT_06,7,2,2022,17:00:00,-3.4071206,38.1320933,0,0,modern,flat,0
48,MAKT_06,7,2,2022,17:00:00,-3.4071807,38.1320902,0,0,modern,flat,0
49,MAKT_06,7,2,2022,17:00:00,-3.4071697,38.1322232,0,0,modern,triangle,0
50,MAKT_06,7,2,2022,17:00:00,-3.4071665,38.1313078,0,0,modern,flat,0
52,MAKT_06,1,3,2022,10:04:27,-3.4133396,38.1366004,0,0,modern,triangle,0
53,MAKT_06,1,3,2022,10:10:16,-3.412519,38.135824,0,0,other_not enclosed,NA,0
54,MAKT_06,1,3,2022,10:18:33,-3.4134272,38.1365511,0,0,other_latrine,flat,0
57,MAKT_06,1,3,2022,10:27:06,-3.4133863,38.1374608,0,0,modern,triangle,0
58,MAKT_06,1,3,2022,10:28:09,-3.4123036,38.1373779,0,0,mud,other_no roof,0
